,Mon:1,Mon:2,Mon:3,Mon:4,Mon:5,Mon:6,Mon:7,Tue:1,Tue:2,Tue:3,Tue:4,Tue:5,Tue:6,Tue:7,Wed:1,Wed:2,Wed:3,Wed:4,Wed:5,Wed:6,Wed:7,Thu:1,Thu:2,Thu:3,Thu:4,Thu:5,Thu:6,Thu:7,Fri:1,Fri:2,Fri:3,Fri:4,Fri:5,Fri:6,Fri:7
BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,SB4 $AGR (#C1),10B/Bs1 $AGR (#C1),13A/Ec1a $AGR (#C1),9A/Bs1 $AGR (#C1),,,12C/Ec1a $AGR (#C1),12A/Bs1a $AGR (#C1),9B/Bs1 $AGR (#C1),13D/Bs1b $AGR (#C1),9A/Bs1 $AGR (#C1),,11C/Bs1 $AGR (#C1),12C/Ec1a $AGR (#C1),12C/Ec1a $AGR (#C1),9B/Bs1 $AGR (#C1),,,,Ee/El6 $AGR (#C1),Ee/El6 $AGR (#C1),12A/Bs1a $AGR (#C1),13A/Ec1a $AGR (#C1),,,,13D/Bs1b $AGR (#C1),11C/Bs1 $AGR (#C1),12A/Bs1a $AGR (#C1),13A/Ec1a $AGR (#C1),,,,,10B/Bs1 $AGR (#C1)
C11,SB1 $SDO (#C11),11D/Bs1 $DCA (#C11),12A/Bs1b $DCA (#C11),11/Ae1 $DCA (#C11),,13D/Bs1a $DCA (#C11),,,9B/Bs2 $DCA (#C11),,11D/Bs1 $DCA (#C11),,,13A/Ec1b $DCA (#C11),13A/Ec1b $DCA (#C11),9B/Bs2 $DCA (#C11),,,,Ee/El3 $DCA (#C11),Ee/El3 $DCA (#C11),,12A/Bs1b $DCA (#C11),8/Co2 $DCA (#C11),13D/Bs1a $DCA (#C11),,,12C/Ec1b $DCA (#C11),13S/St1 $DCA $PSA (#C11) (#LT),,13E/Hi1b $PNI (#C11),,,13D/Bs1a $DCA (#C11),12C/Ec1b $DCA (#C11)
C12,SH4 $RSN (#C12),11D/Dt1 $VYO (#C12) (#D2),,,,7/Co4 $AGR (#C12),,10A/Ss1 $CTA (#C12),,,11D/Dt1 $VYO (#C12) (#D2),,,,8/Co3 $LFO (#C12),,7/Co3 $LFO (#C12),10D/Co1 $LFO (#C12),,Ee/El7 (#C12),Ee/El7 (#C12),9C/Co1 $LFO (#C12),11A/Co1 $LFO (#C12),5/Co2 $LFO (#C12),10A/Ss1 $CTA ($DWO) (#C12),,10D/Co1 $LFO (#C12),5/Co1 $LFO (#C12),9C/Co1 $LFO (#C12),7/Co1 $LFO (#C12),11A/Co1 $LFO (#C12),,,,
C13,SB2 $SCH (#C13),11D/Co1 $SCH (#C13),,12E/It1a $SCH (#C13),,10C/Co1 $SCH (#C13),,,12E/It1a $SCH (#C13),,11D/Co1 $SCH (#C13),,,8/Co1 $SCH (#C13),10C/Co1 $SCH (#C13),7/Co5 $SCH (#C13),13C/It1b $SCH (#C13),,8/Co5 $SCH (#C13),7/Ps2 $SCH (#C13),6/Co1 $SCH (#C13),9C/Im1 $SCH (#C13),13A/Co1b $SCH (#C13),12E/It1a $SCH (#C13),,,12D/Co1b $SCH (#C13),6/Co2 $SCH (#C13),9C/Im1 $SCH (#C13),12E/It1a $SCH (#C13),5/Co3 $SCH (#C13),13C/It1b $SCH (#C13),,12D/Co1b $SCH (#C13),
C14,SD5 $JJA $JPA (#C14),13C/It1a $JPA (#C14),13A/Co1a $JPA (#C14),9A/Co1 $JPA (#C14),,12D/Co1a $JPA (#C14),,,,12D/Co1a $JPA (#C14),9A/Co1 $JPA (#C14),,13C/It1a $JPA (#C14),13A/Co1a $JPA (#C14),13A/Co1a $JPA (#C14),12E/It1b $JPA (#C14),12D/Co1a $JPA (#C14),,,,,,,8/Co4 $AGR (#C14),,,,,13C/It1a $JPA (#C14),13A/Co1a $JPA (#C14),6/Co3 $AGR (#C14),,7/Co2 $AGR (#C14),,
C15,,,,,[REVISION] $SAY #C15,,,,,,,,,,,,,,,,,,,,,[REVISION] $SAY #C15,,,,,,,,,
C2,MP2 $SJO (#C2),5/En1 $SJO (#C2),5/En1 $SJO (#C2),,6/En1 $SJO (#C2),6/En1 $SJO (#C2),7/En1 $SJO (#C2),5/En1 $SJO (#C2),5/En1 $SJO (#C2),6/En1 $SJO (#C2),,6/Hu1 $SJO (#C2),7/En1 $SJO (#C2),7/En1 $SJO (#C2),6/En1 $SJO (#C2),6/En1 $SJO (#C2),5/En1 $SJO (#C2),,5/Hu1 $SJO (#C2),,,5/En1 $SJO (#C2),5/Hu1 $SJO (#C2),,,6/En1 $SJO (#C2),6/Hu1 $SJO (#C2),7/En1 $SJO (#C2),6/En1 $SJO (#C2),6/Hu1 $SJO (#C2),7/En1 $SJO (#C2),,5/En1 $SJO (#C2),5/Hu1 $SJO (#C2),
C21,SP4 $CAM (#C21),12B/Py1 $CAM (#C21),13A/Py1 $CAM (#C21),13B/Py1 $CAM (#C21),,12D/Py1 $CAM (#C21),,12A/Ah1a $PNI (#C21),13B/Py1 $CAM (#C21),12D/Py1 $CAM (#C21),12B/Py1 $CAM (#C21),,12S/Ep1 $CAM (#C21),13A/Py1 $CAM (#C21),13A/Py1 $CAM (#C21),13B/Py1 $CAM (#C21),12D/Py1 $CAM (#C21),12B/Py1 $CAM (#C21),,Ee/El9 $CAM (#C21),Ee/El9 $CAM (#C21),,13A/Py1 $CAM (#C21),,12B/Py1 $CAM (#C21),,12D/Py1 $CAM (#C21),13B/Py1 $CAM (#C21),13S/Ep1 $CAM (#C21),13A/Py1 $CAM (#C21),12S/St1 $DCA $PSA (#C21) (#C22) (#LT),12B/Py1 $CAM (#C21),,12D/Py1 $CAM (#C21),13B/Py1 $CAM (#C21)
C22,SH5 $CTA (#C22),10B/Gg1 $JBA (#C22),13A/Ss1b $CTA (#C22),,8/Gg1 $JBA (#C22),,8/Gg2 $JBA (#C22),10A/Gg1 $JBA (#C22),9B/Gg1 $JBA (#C22),11/Re4 $JBA (#C22),13S/St1 $NHU $PSA (#C22) (#LT),7/Gg1 $JBA (#C22),12S/St1 $NHU $PSA (#C22) (#LT),8/Re4 $JBA (#C22),8/Re5 $JBA (#C22),9B/Gg1 $JBA (#C22),,,7/Gg4 $JBA (#C22),7/Ps3 $JBA (#C22),8/Ps3 $JBA (#C22),9C/Gg2 $JBA (#C22),7/Re1 $JBA (#C22),7/Gg5 $JBA (#C22),10A/Gg1 $JBA (#C22),,9/Re4 $JBA (#C22),9/Re5 $JBA (#C22),9C/Gg2 $JBA (#C22),7/Re4 $JBA (#C22),12S/St1 $DCA $PSA (#C21) (#C22) (#LT),,8/Gg5 $JBA (#C22),,10B/Gg1 $JBA (#C22)
