,Mon:1,Mon:2,Mon:3,Mon:4,Mon:5,Mon:6,Mon:7,Tue:1,Tue:2,Tue:3,Tue:4,Tue:5,Tue:6,Tue:7,Wed:1,Wed:2,Wed:3,Wed:4,Wed:5,Wed:6,Wed:7,Thu:1,Thu:2,Thu:3,Thu:4,Thu:5,Thu:6,Thu:7,Fri:1,Fri:2,Fri:3,Fri:4,Fri:5,Fri:6,Fri:7
PAL,,12B/Gg1b $PAL (#C24),9D/Gg1 $PAL (#C24),[PPA] $PAL,[LUNCH] $PAL,10C/Gg1 $PAL (#C24),12C/Gg1b $PAL (#C24),9D/Gg1 $PAL (#C24),11B/Gg1 $PAL (#C24),13D/Gg1a $PAL (#C24),[PPA] $PAL,[LUNCH] $PAL,11C/Gg1 $PAL (#C24),12C/Gg1b $PAL (#C24),10C/Gg1 $PAL (#C24),8/Gg4 $PAL (#C24),,13E/Gg1a $PAL (#C24),[LUNCH] $PAL,,,9C/Gg1 $PAL (#C24),,13E/Gg1a $PAL (#C24),13D/Gg1a $PAL (#C24),[LUNCH] $PAL,,11C/Gg1 $PAL (#C24),9C/Gg1 $PAL (#C24),11B/Gg1 $PAL (#C24),13E/Gg1a $PAL (#C24),12B/Gg1b $PAL (#C24),[LUNCH] $PAL,13D/Gg1a $PAL (#C24),[PPA] $PAL
CAM,SP4 $CAM (#C21),12B/Py1 $CAM (#C21),13A/Py1 $CAM (#C21),13B/Py1 $CAM (#C21),[LUNCH] $CAM,12D/Py1 $CAM (#C21),[LEAD] $CAM,[PPA] $CAM,13B/Py1 $CAM (#C21),12D/Py1 $CAM (#C21),12B/Py1 $CAM (#C21),[LUNCH] $CAM,12S/Ep1 $CAM (#C21),13A/Py1 $CAM (#C21),13A/Py1 $CAM (#C21),13B/Py1 $CAM (#C21),12D/Py1 $CAM (#C21),12B/Py1 $CAM (#C21),[LUNCH] $CAM,Ee/El9 $CAM (#C21),Ee/El9 $CAM (#C21),[PPA] $CAM,13A/Py1 $CAM (#C21),[LEAD] $CAM,12B/Py1 $CAM (#C21),[LUNCH] $CAM,12D/Py1 $CAM (#C21),13B/Py1 $CAM (#C21),13S/Ep1 $CAM (#C21),13A/Py1 $CAM (#C21),[PPA] $CAM,12B/Py1 $CAM (#C21),[LUNCH] $CAM,12D/Py1 $CAM (#C21),13B/Py1 $CAM (#C21)
JAN,MD2 $JAN (#C4),,,,,,,,,,,,12S/Ep2 $JAN (#LIB),,,,,,,,,,,,,,,,13S/Ep3 $JAN (#LIB),,,,,,
PAN,SP5 $PAN (#C23),13C/Gy1 $PAN (#C23),[PPA] $PAN,12E/Gy1 $PAN (#C23),[LUNCH] $PAN,13D/Gg1b $PAN (#C23),13E/Gg1b $PAN (#C23),13E/Gg1b $PAN (#C23),12E/Gy1 $PAN (#C23),[PPA] $PAN,12B/Gg1a $PAN (#C23),[LUNCH] $PAN,13C/Gy1 $PAN (#C23),[HUMSUP] $PAN,12C/Gg1a $PAN (#C23),12E/Gy1 $PAN (#C23),13C/Gy1 $PAN (#C23),12B/Gg1a $PAN (#C23),[LUNCH] $PAN,Ee/El2 $PAN (#C23),Ee/El2 $PAN (#C23),13C/Gy1 $PAN (#C23),11A/Gg1 $PAN (#C23),12E/Gy1 $PAN (#C23),12B/Gg1a $PAN (#C23),[LUNCH] $PAN,13D/Gg1b $PAN (#C23),12C/Gg1a $PAN (#C23),[PPA] $PAN,12E/Gy1 $PAN (#C23),11A/Gg1 $PAN (#C23),13C/Gy1 $PAN (#C23),[LUNCH] $PAN,[HUMSUP] $PAN,12C/Gg1a $PAN (#C23)
NAR,SH3 $NAR (#C27),8/Pe1 $NAR (#SH2),10/Pe3 $NAR (#SH2),9A/Ss1 $NAR ($DWO) (#C24),[LUNCH] $NAR,9/Ga2 $NAR (#SH2),9/Ga2 $NAR (#SH2),6/Pe1 $NAR (#SH2),6/Pe1 $NAR (#SH2),[PPA] $NAR,9A/Ss1 $NAR (#C24),[LUNCH] $NAR,[PPA] $NAR,13A/Ss1a $NAR (#C26),13A/Ss1a $NAR (#C26),11/Pe2 $NAR (#SH2),9/Pe4 $NAR (#SH2),[PPA] $NAR,[LUNCH] $NAR,Eg/Ga2 $NAR (#SH2),Eg/Ga2 $NAR (#SH2),11/Pe4 $NAR (#SH2),13A/Ss1a $NAR (#C26),12E/Ss1a $NAR (#CO23),[LUNCH] $NAR,7/Pe1 $NAR (#SH2),8/Ga2 $NAR (#SH2),8/Ga2 $NAR (#SH2),11/Pe1 $NAR (#SH2),12E/Ss1a $NAR (#CO24),9/Pe3 $NAR (#SH2),11/Pe3 $NAR (#SH2),[LUNCH] $NAR,7/Ga2 $NAR (#SH2),7/Ga2 $NAR (#SH2)
SAY,,,,[DETENTION] $SAY #CO21,[REVISION] $SAY #C15,,,,,,10/Ma4 $SAY (#CO11),,,,,,10/Ma4 $SAY (#CO11),,,,,,,,,[REVISION] $SAY #C15,,10/Ma4 $SAY (#CO11),,10/Ma4 $SAY (#CO11),,,,,
JBA,[DIRECT] $JBA,10B/Gg1 $JBA (#C22),[PPA] $JBA,[LUNCH] $JBA,8/Gg1 $JBA (#C22),[DIRECT] $JBA,8/Gg2 $JBA (#C22),10A/Gg1 $JBA (#C22),9B/Gg1 $JBA (#C22),11/Re4 $JBA (#C22),[LUNCH] $JBA,7/Gg1 $JBA (#C22),[DIRECT] $JBA,8/Re4 $JBA (#C22),8/Re5 $JBA (#C22),9B/Gg1 $JBA (#C22),[PPA] $JBA,[LUNCH] $JBA,7/Gg4 $JBA (#C22),7/Ps3 $JBA (#C22),8/Ps3 $JBA (#C22),9C/Gg2 $JBA (#C22),7/Re1 $JBA (#C22),7/Gg5 $JBA (#C22),10A/Gg1 $JBA (#C22),[LUNCH] $JBA,9/Re4 $JBA (#C22),9/Re5 $JBA (#C22),9C/Gg2 $JBA (#C22),7/Re4 $JBA (#C22),[PPA] $JBA,[LUNCH] $JBA,8/Gg5 $JBA (#C22),[DIRECT] $JBA,10B/Gg1 $JBA (#C22)
BBE,MH5 $BBE (#CO12),12B/Ma1a $BBE (#CO12),7/Ma3 $BBE (#CO12),12E/Ma1b $BBE (#CO12),[LUNCH] $BBE,8/Ma1 $BBE (#CO12),11/Ma3 $BBE (#CO11),8/Ma1 $BBE (#CO12),[PPA] $BBE,7/Ma3 $BBE (#CO12),10/Ma2 $BBE (#CO12),[LUNCH] $BBE,9/Ma5 $BBE (#C27),[DIRECT] $BBE,9/Ma5 $BBE (#C27),[PPA] $BBE,10/Ma2 $BBE (#CO12),12B/Ma1a $BBE (#SEM),[LUNCH] $BBE,8/Ma1 $BBE (#CO12),7/Ma3 $BBE (#CO12),[PPA] $BBE,9/Ma5 $BBE (#C24),12E/Ma1b $BBE (#SEM),[LUNCH] $BBE,8/Ma1 $BBE (#CO12),7/Ma3 $BBE (#CO12),10/Ma2 $BBE (#CO12),7/Ma3 $BBE (#CO12),10/Ma2 $BBE (#CO12),8/Ma1 $BBE (#CO12),12B/Ma1a $BBE (#CO12),[LUNCH] $BBE,11/Ma3 $BBE (#CO11),9/Ma5 $BBE (#C24)
DCA,,11D/Bs1 $DCA (#C11),12A/Bs1b $DCA (#C11),11/Ae1 $DCA (#C11),[LUNCH] $DCA,13D/Bs1a $DCA (#C11),,,9B/Bs2 $DCA (#C11),,11D/Bs1 $DCA (#C11),[LUNCH] $DCA,,13A/Ec1b $DCA (#C11),13A/Ec1b $DCA (#C11),9B/Bs2 $DCA (#C11),,,[LUNCH] $DCA,Ee/El3 $DCA (#C11),Ee/El3 $DCA (#C11),,12A/Bs1b $DCA (#C11),8/Co2 $DCA (#C11),13D/Bs1a $DCA (#C11),[LUNCH] $DCA,,12C/Ec1b $DCA (#C11),13S/St1 $DCA $PSA (#C11) (#LT),,12S/St1 $DCA $PSA (#C21) (#C22) (#LT),,[LUNCH] $DCA,13D/Bs1a $DCA (#C11),12C/Ec1b $DCA (#C11)
SCH,SB2 $SCH (#C13),11D/Co1 $SCH (#C13),[LEAD] $SCH,12E/It1a $SCH (#C13),[LUNCH] $SCH,10C/Co1 $SCH (#C13),[DIRECT] $SCH,[DIRECT] $SCH,12E/It1a $SCH (#C13),[PPA] $SCH,11D/Co1 $SCH (#C13),[LUNCH] $SCH,[LEAD] $SCH,8/Co1 $SCH (#C13),10C/Co1 $SCH (#C13),7/Co5 $SCH (#C13),13C/It1b $SCH (#C13),[LUNCH] $SCH,8/Co5 $SCH (#C13),7/Ps2 $SCH (#C13),6/Co1 $SCH (#C13),9C/Im1 $SCH (#C13),13A/Co1b $SCH (#C13),12E/It1a $SCH (#C13),[PPA] $SCH,[LUNCH] $SCH,12D/Co1b $SCH (#C13),6/Co2 $SCH (#C13),9C/Im1 $SCH (#C13),12E/It1a $SCH (#C13),5/Co3 $SCH (#C13),13C/It1b $SCH (#C13),[LUNCH] $SCH,12D/Co1b $SCH (#C13),[PPA] $SCH
PCL,,,,,[LUNCH] $PCL,13D/Ah1a $PCL (#PCL),13E/Hi1a $PCL (#C26),13E/Hi1a $PCL (#C26),,13D/Ah1a $PCL (#PCL),,[LUNCH] $PCL,,,,8/Hi3 $PCL (#C26),,13E/Hi1a $PCL (#C26),7/Hi1 $PCL (#C26),,,,12A/Ah1b $PCL (#PCL),,13D/Ah1a $PCL (#PCL),[LUNCH] $PCL,,,12A/Ah1b $PCL (#PCL),,,,[LUNCH] $PCL,,
DCO,,,,[LUNCH] $DCO,5/Ma2 $DCO (#CE4),5/Ma2 $DCO (#CE4),[SENCO] $DCO,[SENCO] $DCO,,5/Ma2 $DCO (#CE4),[LUNCH] $DCO,5/Sc2 $DCO (#L1),,,,,,[LUNCH] $DCO,,5/Ma2 $DCO (#CE4),5/Sc2 $DCO (#L1),,,,[LUNCH] $DCO,5/Ma2 $DCO (#CE4),5/Sc2 $DCO (#CE4),,5/Ma2 $DCO (#CE4),5/Ma2 $DCO (#CE4),,[LUNCH] $DCO,,,5/Ps3 $DCO (#CE4)
SCO,MP4 $SCO (#CO25),9/En1 $SCO (#CO23),8/En2b $SCO (#CO23),12E/En1b $SCO (#SEM),[LUNCH] $SCO,11/En2 $SCO (#CO23),7/En3 $SCO (#CO24),11/En2 $SCO (#CO23),[PPA] $SCO,9/En1 $SCO (#CO23),[LUNCH] $SCO,8/En2b $SCO (#CO23),7/En3 $SCO (#CO24),7/En3 $SCO (#CO24),11/En2 $SCO (#CO23),[PPA] $SCO,8/En2b $SCO (#CO23),9/En1 $SCO (#CO23),[LUNCH] $SCO,Eg/Ga6 $SCO,Eg/Ga6 $SCO,[PPA] $SCO,8/En2b $SCO (#CO23),[ENGMTG] $SCO $MSW,9/En1 $SCO (#CO23),[LUNCH] $SCO,11/En2 $SCO (#CO23),7/En3 $SCO (#CO24),8/En2b $SCO (#CO23),12E/En1b $SCO (#CO25),7/En3 $SCO (#CO24),9/En1 $SCO (#CO23),[LUNCH] $SCO,[LEAD] $SCO,11/En2 $SCO (#CO23)
GDI,SD1 $GDI (#D5),12B/Ar1a $GDI (#D5),,[LUNCH] $GDI,7/Ar5 $GDI (#D5),7/Ar2 $GDI (#D5),[PPA] $GDI,10A/Ar1 $GDI (#D5),8/Ar4 $GDI (#D5),,12B/Ar1a $GDI (#D5),[LUNCH] $GDI,11C/Ar1 $GDI (#D5),13A/Ar1a $GDI (#D5),13A/Ar1a $GDI (#D5),,,12B/Ar1a $GDI (#D5),[LUNCH] $GDI,Ee/El4 $GDI (#D5),Ee/El4 $GDI (#D5),9C/Ar1 $GDI (#D5),13A/Ar1a $GDI (#D5),,10A/Ar1 $GDI (#D5),[LUNCH] $GDI,[PPA] $GDI,11C/Ar1 $GDI (#D5),9C/Ar1 $GDI (#D5),,,,[LUNCH] $GDI,8/Ar1 $GDI (#D5),[PPA] $GDI
SDO,SB1 $SDO (#C11),8/Sc2c $SDO (#L1),11/Bi4 $SDO (#L1),12E/Bi1b $SDO (#L1),[LUNCH] $SDO,[PPA] $SDO,8/Sc2c $SDO (#L1),7/Sc2 $SDO (#L1),7/Sc2 $SDO (#L1),10/Bi2 $SDO (#L1),[PPA] $SDO,[LUNCH] $SDO,8/Sc2c $SDO (#L1),9/Bi2 $SDO (#L1),7/Sc2 $SDO (#L1),11/Bi3 $SDO (#L1),9/Bi5 $SDO (#L1),[LUNCH] $SDO,7/Sc2 $SDO (#L1),[PPA] $SDO,[DIRECT] $SDO,11/Bi3 $SDO (#L1),10/Bi3 $SDO (#L1),9/Bi5 $SDO (#L1),11/Bi4 $SDO (#L1),[LUNCH] $SDO,9/Bi2 $SDO (#L1),9/Bi3 $SDO (#L1),10/Bi3 $SDO (#L1),12E/Bi1b $SDO (#L1),9/Ph2 $SDO (#L1),10/Bi2 $SDO (#L1),[LUNCH] $SDO,9/Bi3 $SDO (#L1),8/Sc2c $SDO (#L1)
SDR,MB3 $SDR (#L8),8/Sc2b $SDR (#L8),12A/Bi1a $SDR (#L8),11/Ae3 $SDR (#L8),[LUNCH] $SDR,[LEAD] $SDR,8/Sc2b $SDR (#L8),13E/Bi1b $SDR (#L8),12E/Bi1a $SDR (#L8),10/Bi1 $SDR (#L8),[PPA] $SDR,[LUNCH] $SDR,8/Sc2b $SDR (#L8),9/Bi4 $SDR (#L8),[PPA] $SDR,12E/Bi1a $SDR (#L8),11/Bi2 $SDR (#L8),13E/Bi1b $SDR (#L8),[LUNCH] $SDR,Ee/El5 $SDR (#L8),Ee/El5 $SDR (#L8),12A/Bi1a $SDR (#L8),12A/Bi1a $SDR (#L8),12E/Bi1a $SDR (#L8),11/Bi2 $SDR (#L8),[LUNCH] $SDR,[LEAD] $SDR,13B/Bi1b $SDR (#L8),10/Bi1 $SDR (#L8),9/Bi4 $SDR (#L8),[PPA] $SDR,[LUNCH] $SDR,8/Sc2b $SDR (#L8),[LEAD] $SDR,13B/Bi1b $SDR (#L8)
